Keithley (V),Keithley (A)
-0.000010,5.881046E-12
0.499946,69.139460E-12
0.999976,-1.842179E-12
1.499961,-48.231730E-12
1.999884,-39.339990E-12
2.499489,-33.395190E-12
2.999477,-18.253760E-12
3.500065,-39.238350E-12
4.000648,-13.223560E-12
4.499863,32.454700E-12
4.999377,7.557767E-12
5.499234,28.643910E-12
5.999551,7.506842E-12
6.500154,61.721310E-12
7.000167,84.077700E-12
7.499378,608.691800E-12
7.998932,6.611193E-9
8.241081,9.999754E-3
8.253185,9.999750E-3
8.257126,9.999746E-3
8.260092,9.999742E-3
8.264930,9.999735E-3
8.267101,9.999733E-3
8.269498,9.999735E-3
8.271439,9.999735E-3
8.273173,9.999731E-3
8.274919,9.999730E-3
8.276674,9.999724E-3
8.278563,9.999719E-3
8.280409,9.999719E-3
8.282205,9.999722E-3
8.284012,9.999714E-3
8.285780,9.999718E-3
