Agilent Power Supply (V),Agilent Power Supply (A),Keithley (V),Keithley (A),Agilent Multimeter (V),Fluke Multimeter (V)
1.669793,0.000000,-0.000006,2.022374E-6,0.002005,-0.158737
1.670540,0.000000,0.499957,1.979545E-6,0.001983,-0.159095
1.670427,0.000000,0.999985,2.032225E-6,0.002010,-0.159450
1.670653,0.000000,1.499968,1.974481E-6,0.001978,-0.159811
1.670427,0.000000,1.999889,1.961077E-6,0.001965,-0.160164
1.670472,0.000000,2.499594,1.950943E-6,0.001954,-0.160517
1.670427,0.000000,2.999555,1.943869E-6,0.001951,-0.160871
1.670517,0.000000,3.500136,1.938253E-6,0.001942,-0.161227
1.670427,0.000000,4.000708,1.931614E-6,0.001937,-0.161582
1.670427,0.000000,4.499938,1.958794E-6,0.001990,-0.161936
1.670336,0.000000,4.999485,1.921019E-6,0.001927,-0.162291
1.670427,0.000000,5.499349,1.915970E-6,0.001922,-0.162647
1.670381,0.000000,5.999641,1.910673E-6,0.001917,-0.163000
1.670472,0.000000,6.500237,1.905670E-6,0.001911,-0.163353
1.670472,0.000000,7.000246,1.900976E-6,0.001907,-0.163708
1.670381,0.000000,7.499474,1.936649E-6,0.001925,-0.164061
1.670291,0.000000,7.999033,1.900952E-6,0.001907,-0.164415
1.670381,0.000000,8.499566,1.895033E-6,0.001901,-0.164770
