Keithley (V),Keithley (A),Agilent Multimeter (V)
0.000011,-49.442500E-12,-0.000013
0.499942,-25.111590E-12,-0.000011
1.000002,-12.287310E-12,-0.000019
1.500028,-79.198680E-12,-0.000015
1.999975,-46.299590E-12,-0.000015
2.499336,-44.981610E-12,-0.000014
2.999734,46.613070E-12,-0.000013
3.500149,-65.106310E-12,-0.000015
4.000849,-48.225880E-12,-0.000015
4.499974,-52.990930E-12,-0.000012
4.999355,-52.230540E-12,-0.000011
5.499232,-94.456940E-12,-0.000015
5.999719,-38.290690E-12,-0.000013
6.500495,-55.981750E-12,-0.000013
7.000181,-47.921730E-12,-0.000017
7.499584,-42.852680E-12,-0.000015
7.998978,-43.258190E-12,-0.000011
8.499368,-45.589900E-12,-0.000010
9.000185,-65.410440E-12,-0.000012
9.500772,-17.559000E-12,-0.000017
9.999935,-101.807200E-12,-0.000011
10.499380,-30.079120E-12,-0.000017
10.999220,117.729200E-12,-0.000014
11.499980,-41.281330E-12,-0.000018
12.000810,-65.004900E-12,-0.000016
12.500210,-21.309980E-12,-0.000006
12.999580,-129.789100E-12,-0.000012
13.498740,-49.087640E-12,-0.000011
13.999480,-40.419630E-12,-0.000018
14.500210,-62.875820E-12,-0.000015
15.000140,-4.379982E-12,-0.000012
15.499390,-40.521010E-12,-0.000014
15.998360,-48.023110E-12,-0.000012
